Gene	ckcc_reference/TCGA-MP-A4T4-01	ckcc_reference/TCGA-KK-A8IG-01	ckcc_reference/TCGA-A8-A09Z-01	ckcc_reference/TCGA-DD-AAW1-01	ckcc_reference/TCGA-YL-A8SB-01	ckcc_reference/TCGA-HC-7817-01	ckcc_reference/TCGA-06-0649-01	ckcc_reference/TCGA-C5-A1BE-01	ckcc_reference/TARGET-21-PATISD-09	ckcc_reference/TCGA-K4-A5RH-01
AC002400.1	0.82800000906	1.4076000452	0.0	0.0	1.68369996548	1.2460000515	0.0	0.0	3.75909996033	0.0
AC002429.5	0.82800000906	0.869000017643	0.0	0.0	0.0	0.0	5.72179985046	0.0	0.0	0.0
AC002451.3	0.0	1.4076000452	0.0	2.97379994392	3.06599998474	2.69759988785	4.26859998703	0.0	0.0	1.15869998932
AC002454.1	0.0	0.869000017643	0.0	0.0	1.30739998817	0.0	4.82840013504	0.0	8.73390007019	4.72639989853
AC002456.2	0.0	5.34590005875	0.675000011921	4.8779001236	4.48460006714	2.35479998589	6.21129989624	0.577300012112	2.04780006409	5.26249980927
AC002467.7	5.88609981537	8.87479972839	5.43819999695	5.82849979401	7.40210008621	5.98680019379	6.49730014801	5.43709993362	4.88619995117	5.85039997101
AC002480.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002480.3	4.20849990845	0.0	0.0	2.26900005341	0.0	2.69759988785	4.7564997673	1.30820000172	0.0	3.49399995804
AC002480.4	0.0	0.869000017643	0.0	0.0	0.0	0.0	1.59959995747	0.0	0.0	1.15869998932
AC002480.5	2.58310008049	0.869000017643	1.48010003567	0.134700000286	1.68369996548	0.0	2.44000005722	0.0	0.0	2.56909990311
AC002511.2	0.0	0.869000017643	0.0	0.0	2.93300008774	2.53640007973	1.0109000206	1.30820000172	2.51149988174	0.0
AC002511.3	0.82800000906	2.10630011559	0.0	0.0	4.78389978409	3.4063000679	0.0	2.1521999836	0.0	0.0
AC002519.8	1.73360002041	1.79879999161	0.0	1.97759997845	1.98179996014	0.0	2.82610011101	0.0	0.0	0.0
AC002543.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.04120016098	0.0
AC002550.5	1.74699997902	2.02659988403	0.0	0.0	1.73570001125	0.0	2.9335000515	1.32529997826	4.71770000458	0.0
AC002550.6	2.84829998016	2.92820000648	1.48010003567	2.29800009727	2.78649997711	1.90439999104	3.18930006027	2.30360007286	4.70480012894	2.46449995041
AC002984.2	0.82800000906	0.869000017643	0.675000011921	0.0	0.79699999094	0.0	0.0	0.0	1.36029994488	0.0
AC002985.3	0.988799989223	0.0	0.0	0.0	0.0	0.0	0.0	1.40789997578	0.0	0.696300029755
AC003002.6	2.81049990654	1.09230005741	2.33310008049	2.56960010529	2.57610011101	1.47329998016	1.24530005455	3.68099999428	2.14299988747	2.304500103
AC003003.5	1.73360002041	0.869000017643	0.0	1.56509995461	1.30739998817	0.0	4.77589988708	1.98290002346	0.0	1.40240001678
AC003005.2	0.0	1.4076000452	0.0	0.985099971294	0.0	1.2460000515	3.18930006027	0.0	5.53770017624	0.865299999714
AC003006.7	0.0	0.0	1.28199994564	2.31509995461	0.0	0.0	0.0	2.01659989357	0.0	0.613499999046
AC003075.4	2.69609999657	3.11730003357	0.691100001335	4.62260007858	2.79579997063	2.56010007858	5.34929990768	2.79189991951	1.36029994488	3.74850010872
AC003080.4	0.0	0.869000017643	0.0	0.0	0.79699999094	0.0	0.0	0.0	0.0	0.865299999714
AC003088.1	0.0	0.0	0.0	0.0	0.79699999094	0.0	0.0	0.0	0.0	0.865299999714
AC003090.1	1.35070002079	6.10370016098	0.0	8.69799995422	5.99289989471	4.99389982224	7.78329992294	0.98860001564	0.0	1.15869998932
AC003092.1	2.03590011597	0.0	0.0	0.0	0.79699999094	0.0	1.59959995747	0.0	0.0	0.496499985456
AC003104.1	2.4986000061	1.79879999161	0.0	0.985099971294	0.0	0.753499984741	1.59959995747	0.98860001564	6.728099823	0.0
AC003682.17	1.73360002041	0.869000017643	0.0	0.0	0.79699999094	0.0	1.0109000206	0.0	2.04780006409	0.0
AC003958.2	0.0	0.0	0.701699972153	0.0	0.79699999094	0.0	1.59959995747	2.1521999836	0.0	2.66470003128
AC003973.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.322600007057
AC003973.3	3.97530007362	3.9117000103	1.75969994068	1.97759997845	4.43620014191	3.49679994583	4.41309976578	1.56970000267	0.0	1.79289996624
AC003986.6	0.0	1.4076000452	0.0	0.0	1.98179996014	2.14709997177	6.15080022812	0.577300012112	0.0	1.61080002785
AC003991.3	4.64970016479	6.25089979172	0.675000011921	0.0	2.78649997711	3.31080007553	2.37649989128	0.825900018215	2.04780006409	0.0
AC004012.1	1.73360002041	0.0	0.0	2.55999994278	0.79699999094	0.753499984741	2.33940005302	0.577300012112	0.0	0.0
AC004019.10	0.0	0.0	0.0	0.985099971294	1.68369996548	0.0	0.0	0.0	0.0	0.0
